repository,good_first,created_at,comments,url,title,number,flags,labels
mlflow/mlflow,no,2025-08-26T05:57:52Z,3,https://github.com/mlflow/mlflow/issues/17401,[FR] Implement docker image build support for R models,17401,help wanted,enhancement; help wanted; area/scoring; domain/platform
ray-project/ray,no,2025-08-25T07:18:40Z,2,https://github.com/ray-project/ray/issues/55877,[Core] False description in docs on working directory size limit,55877,docs,P1; @external-author-action-required; docs; core
pytorch/pytorch,no,2025-08-24T02:47:17Z,1,https://github.com/pytorch/pytorch/issues/161365,orch.onnx.errors.UnsupportedOperatorError: Exporting the operator 'aten::linalg_inv' to ONNX opset version 16 is not supported.,161365,OSS contribution wanted,module: onnx; low priority; triaged; OSS contribution wanted
pytorch/pytorch,no,2025-08-22T19:09:57Z,8,https://github.com/pytorch/pytorch/issues/161295,UNSTABLE inductor-periodic / cuda12.8-py3.10-gcc9-sm80 / test (inductor_torchbench_smoketest_perf),161295,actionable,high priority; module: ci; triaged; actionable; oncall: pt2; module: inductor; unstable; PT2-Bug-Bash
pytorch/pytorch,no,2025-08-12T13:59:25Z,2,https://github.com/pytorch/pytorch/issues/160415,[MPS] Conv3d type mismatch with AMP,160415,actionable,triaged; actionable; module: amp (automated mixed precision); module: mps
mlflow/mlflow,no,2025-08-05T17:41:21Z,3,https://github.com/mlflow/mlflow/issues/17068,"[DOC-FIX] Rest API should include 3.0 endpoints (e.g., tracing)",17068,area/docs,area/docs
pytorch/pytorch,no,2025-08-01T03:30:46Z,5,https://github.com/pytorch/pytorch/issues/159622,Performance bug on `inplace` of `nn.ELU`,159622,actionable,module: nn; module: memory usage; triaged; actionable
Lightning-AI/torchmetrics,no,2025-07-31T17:16:05Z,4,https://github.com/Lightning-AI/torchmetrics/issues/3199,`MeanAveragePrecision(sync_on_compute=True)` hangs when using `LightningModule` with `ray`'s `TorchTrainer`,3199,help wanted,bug / fix; help wanted; waiting on author
numpy/numpy,no,2025-07-29T06:56:43Z,2,https://github.com/numpy/numpy/issues/29464,Repository/teams cleanups and tightening 2FA requirements,29464,17 - Task,17 - Task
unslothai/unsloth,no,2025-07-29T02:57:23Z,1,https://github.com/unslothai/unsloth/issues/3054,[Bug] Loss & gradient norm zero when full finetuning custom model & most layers frozen,3054,help wanted,help wanted
ray-project/ray,no,2025-07-28T15:19:43Z,3,https://github.com/ray-project/ray/issues/54968,[tune] Ax example throws error,54968,docs,triage; docs
pytorch/pytorch,no,2025-07-28T14:59:24Z,1,https://github.com/pytorch/pytorch/issues/159259,Use aten/src/ATen/native/native_functions.yaml to automatically generate tests for type hints,159259,actionable,feature; module: typing; triaged; better-engineering; actionable
ray-project/ray,no,2025-07-28T03:26:19Z,1,https://github.com/ray-project/ray/issues/54951,[Tune] Confusing docs on ray tune with Pytorch lightning,54951,docs,triage; docs
ray-project/ray,no,2025-07-21T09:09:26Z,0,https://github.com/ray-project/ray/issues/54776,"Version switcher is cut off on ""latest"" docs",54776,docs,triage; docs
sktime/sktime,no,2025-07-20T20:07:25Z,5,https://github.com/sktime/sktime/issues/8596,[DOC] Tutorial - Global Forecasting and Zero-shot forecasting,8596,documentation,documentation
Lightning-AI/pytorch-lightning,no,2025-07-15T02:32:12Z,2,https://github.com/Lightning-AI/pytorch-lightning/issues/20982,MoE (mixture of experts) support for expert parallel,20982,docs,feature; question; docs
sktime/sktime,no,2025-07-09T20:15:16Z,2,https://github.com/sktime/sktime/issues/8512,[DOC] General Improvement Suggestions to Notebook Examples,8512,documentation,documentation
Lightning-AI/pytorch-lightning,no,2025-07-09T14:00:27Z,1,https://github.com/Lightning-AI/pytorch-lightning/issues/20970,Proper way to use mixed precision with manual optimization,20970,docs,docs; waiting on author
ray-project/ray,no,2025-07-08T12:38:24Z,0,https://github.com/ray-project/ray/issues/54416,[RLlib] Multi-Agent Environments Documentation is BAD,54416,docs,triage; docs
ray-project/ray,no,2025-07-07T22:43:56Z,0,https://github.com/ray-project/ray/issues/54388,[Core] Ray log files in /tmp/ray/session_latest/logs don't use JSON encoding,54388,docs,triage; docs
Lightning-AI/pytorch-lightning,no,2025-07-04T00:38:59Z,0,https://github.com/Lightning-AI/pytorch-lightning/issues/20963,Cannot reproduce FSDP memory profile in docs,20963,docs,docs; strategy: fsdp; ver: 2.5.x
pytorch/pytorch,no,2025-07-03T12:08:55Z,3,https://github.com/pytorch/pytorch/issues/157548,Nightly cu128 aarch64 wheels haven't been built for weeks,157548,actionable,module: binaries; module: docs; module: cuda; triaged; actionable
ray-project/ray,no,2025-07-02T20:55:26Z,0,https://github.com/ray-project/ray/issues/54288,[<Ray component: Core|RLlib|etc...>] Ray BigQuery Reader Query Response Limit,54288,docs,triage; docs
pytorch/pytorch,no,2025-07-02T19:57:17Z,6,https://github.com/pytorch/pytorch/issues/157490,Quantized version of Gather layer,157490,OSS contribution wanted,module: onnx; low priority; triaged; OSS contribution wanted
ray-project/ray,no,2025-07-02T14:51:28Z,0,https://github.com/ray-project/ray/issues/54275,[Core] - providing `py_executable=uv run` causes failures with unloadable logs,54275,docs,bug; P1; dashboard; usability; docs; core
gradio-app/gradio,no,2025-07-02T13:31:09Z,2,https://github.com/gradio-app/gradio/issues/11501,Showcase high quality community + team built demos in our docs,11501,docs/website,docs/website
numpy/numpy,no,2025-06-30T14:45:11Z,0,https://github.com/numpy/numpy/issues/29292,DEV: Investigate TySAN,29292,17 - Task,17 - Task; 16 - Development
pytorch/pytorch,no,2025-06-30T12:16:29Z,1,https://github.com/pytorch/pytorch/issues/157266,"Better typechecking of `int` only-operators `|`, `^`, `&`, `<<`, `>>`, `~` and `@`",157266,actionable,module: typing; triaged; better-engineering; actionable
mlflow/mlflow,no,2025-06-27T07:11:59Z,1,https://github.com/mlflow/mlflow/issues/16474,[FR] mlflow login extend backend options to azure entra ID.,16474,help wanted,enhancement; help wanted; integrations/azure; area/server-infra
sktime/sktime,no,2025-06-23T09:30:41Z,2,https://github.com/sktime/sktime/issues/8433,[DOC] Links not Clickable in the Changelog,8433,documentation,documentation
scikit-learn/scikit-learn,no,2025-06-16T10:14:05Z,20,https://github.com/scikit-learn/scikit-learn/issues/31554,Allow batch based metrics calculation of sklearn.metrics,31554,help wanted,Performance; help wanted; module:metrics; Needs Investigation
numpy/numpy,no,2025-06-11T15:08:40Z,22,https://github.com/numpy/numpy/issues/29178,NumPy Security roadmap proposal,29178,03 - Maintenance,14 - Release; 03 - Maintenance; component: CI
ray-project/ray,no,2025-06-03T18:35:27Z,0,https://github.com/ray-project/ray/issues/53521,[RLlib] Is IMPALA applicable to continuous action spaces?,53521,docs,triage; docs
unslothai/unsloth,no,2025-05-27T02:02:34Z,5,https://github.com/unslothai/unsloth/issues/2629,[Bug] Qwen 2.5 VL 7B full fine tuning,2629,help wanted,help wanted
ray-project/ray,no,2025-05-23T16:43:18Z,0,https://github.com/ray-project/ray/issues/53270,"[RLlib]  Change ""RLlib Advanced API"" doc (old API stack) or delete it.",53270,docs; rllib-docs-or-examples,P3; rllib; docs; rllib-docs-or-examples
pytorch/pytorch,no,2025-05-23T15:12:02Z,1,https://github.com/pytorch/pytorch/issues/154226,NotImplementedError when computing JVP of Attention,154226,actionable,module: autograd; triaged; actionable; module: forward ad; module: sdpa
pytorch/pytorch,no,2025-05-22T17:26:30Z,3,https://github.com/pytorch/pytorch/issues/154128,matmul uses excessive memory in batch cases with more than 3 dimensions,154128,actionable,module: memory usage; triaged; has workaround; actionable; matrix multiplication
pyg-team/pytorch_geometric,no,2025-05-21T13:23:29Z,0,https://github.com/pyg-team/pytorch_geometric/issues/10287,Specify the MetaPath2Vec algorithm,10287,documentation,documentation
unslothai/unsloth,no,2025-05-20T13:31:14Z,6,https://github.com/unslothai/unsloth/issues/2590,[Bug] OOM when doing inference on any model using unsloth from v2025-01,2590,help wanted,help wanted
pymc-devs/pymc,no,2025-05-20T12:25:01Z,2,https://github.com/pymc-devs/pymc/issues/7793,DOC: readthedocs not building tagged releases,7793,docs,docs; hackathon
pytorch/pytorch,no,2025-05-20T09:03:06Z,2,https://github.com/pytorch/pytorch/issues/153938,Subtests not properly accounted for in test reports (e.g. on CI),153938,actionable,low priority; module: ci; triaged; actionable; module: testing
sktime/sktime,no,2025-05-18T00:03:42Z,6,https://github.com/sktime/sktime/issues/8259,[ENH] Add example for  sktime.forecasting.pytorchforecasting,8259,documentation,documentation; module:forecasting; enhancement
Lightning-AI/pytorch-lightning,no,2025-05-17T18:02:57Z,4,https://github.com/Lightning-AI/pytorch-lightning/issues/20832,NCCL timeout while doing multi gpu training,20832,help wanted,bug; help wanted; distributed; repro needed; ver: 2.4.x
gradio-app/gradio,no,2025-05-15T23:58:10Z,0,https://github.com/gradio-app/gradio/issues/11212,Redesign website search,11212,docs/website,docs/website
gradio-app/gradio,no,2025-05-15T23:52:10Z,0,https://github.com/gradio-app/gradio/issues/11210,Redesign website cc gallery,11210,docs/website,docs/website
gradio-app/gradio,no,2025-05-15T23:50:34Z,0,https://github.com/gradio-app/gradio/issues/11209,Demos on docs are too complex,11209,docs/website,docs/website
gradio-app/gradio,no,2025-05-15T23:49:34Z,0,https://github.com/gradio-app/gradio/issues/11208,Redesign website docs,11208,docs/website,docs/website
gradio-app/gradio,no,2025-05-15T23:41:44Z,0,https://github.com/gradio-app/gradio/issues/11207,Redesign website landing page,11207,docs/website,docs/website
gradio-app/gradio,no,2025-05-15T16:01:23Z,0,https://github.com/gradio-app/gradio/issues/11204,Add theme builder and gallery to the website,11204,docs/website,docs/website
ray-project/ray,no,2025-05-14T21:30:52Z,5,https://github.com/ray-project/ray/issues/53010,Usability: The Queue is slow & something like ZMQ is almost always preferable,53010,docs,P2; docs; core; community-backlog
pytorch/pytorch,no,2025-05-10T18:12:40Z,9,https://github.com/pytorch/pytorch/issues/153327,FPE when calling `torch.pixel_shuffle()` with empty tensors and large upscale_factor,153327,actionable,module: error checking; triaged; actionable; module: empty tensor
unslothai/unsloth,no,2025-05-09T08:38:40Z,7,https://github.com/unslothai/unsloth/issues/2503,[Bug] Llama-3.1-8B Not Supported in Unsloth 2024.09.post2,2503,help wanted,help wanted
unslothai/unsloth,no,2025-05-06T02:53:14Z,5,https://github.com/unslothai/unsloth/issues/2489,[Bug] import unsloth failed and shows UnicodeDecodeError,2489,help wanted,help wanted
pytorch/pytorch,no,2025-05-05T21:40:34Z,2,https://github.com/pytorch/pytorch/issues/152868,Have WrapTriton work w/ `TRITON_INTERPRET=1` in eager,152868,actionable,triaged; actionable; oncall: pt2; module: higher order operators; module: pt2-dispatcher; module: user triton
ray-project/ray,no,2025-05-03T16:38:13Z,1,https://github.com/ray-project/ray/issues/52765,[Doc] [Core] Better docs for ObjectRefGenerator vs DynamicObjectRefGenerator,52765,docs,P1; docs; core; community-backlog
pymc-devs/pymc,no,2025-05-02T21:07:27Z,4,https://github.com/pymc-devs/pymc/issues/7774,DOC: Update release checklist,7774,docs,docs
pytorch/pytorch,no,2025-05-02T20:56:27Z,5,https://github.com/pytorch/pytorch/issues/152731,Inconsistent float16 overflow behavior between CPU and CUDA devices,152731,actionable,module: cuda; low priority; triaged; module: half; actionable; module: edge cases
pytorch/pytorch,no,2025-04-25T21:07:20Z,3,https://github.com/pytorch/pytorch/issues/152213,Outdated install commands,152213,actionable,module: docs; triaged; actionable
microsoft/autogen,no,2025-04-25T07:58:57Z,1,https://github.com/microsoft/autogen/issues/6396,Function call with Gemini have no code samples,6396,documentation,documentation; dotnet; needs-triage
explosion/spaCy,no,2025-04-24T15:05:22Z,2,https://github.com/explosion/spaCy/issues/13806,sample did not work,13806,docs,docs
numpy/numpy,no,2025-04-24T10:05:40Z,1,https://github.com/numpy/numpy/issues/28814,"ENH,MAINT: Use METH_FASTCALL for scalar methods forwarding",28814,03 - Maintenance,03 - Maintenance; Project
